"","prod","title","author","date","review_format","stars","comments","n_helpful"
"56","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","My 93yr old mom loved it--named it Hazel after the show from the 60's","JoanD","March 31, 2019","Size: V5s ProVerified Purchase",4,"I bought this product because I read great reviews on how well it picks up pet hair. I have a German Shepherd and his hair is long and stiff, so it mostly clogs the opening of the collection bin and the basket stays pretty empty. It does better with the softer undercoat hairs and all other debris on the floors.  It even pulled out missing socks from under the couches!It worked well on my mom's hardwood floors--no pets there. After the unit completed the sweeping, I used the mop function and it did not leave much water on the surface. It dried in about 10 minutes.It does not 'map' the house as others mentioned so the movements seem pretty random. We also discovered the slower speed which is a lot quieter so my mom will use that one at night to avoid accidentally tripping on the unit during the day.  Her house also has a slightly elevated hallway and kitchen and the unit was able to ascend without too much trouble. It doesn't like thin, fluffy bathroom rugs but did OK with the rubber mat in front of the kitchen sink. We taped up some cords under the bed for the electic blanket so that the unit wouldn't get caught up with the cords. I have to buy some risers for the couch so it will fit underneath and not get stuck there.The unit is heavier than I was expecting and it has a light on the top so you can see it at night.  The bumpers on the front are springy when it hits the chair and table legs. It slows down when it senses a wall/door so it doesn't bang into those areas. She was happy to see how many crumbs and cornflakes it picked up in the kitchen. She can't easily bend down to get those items anymore. Hopefully, this will help her with her housework and provide entertainment so she can live independently in her home a few years longer.",NA
"57","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Works well on bare floors, mopping feature is a great bonus.","Rahul A.","April 15, 2018","Size: V5s ProVerified Purchase",4,"I currently have a Roomba 650 that I use for the lower level of my apartment, and purchased the ILIFE V5s Pro for the smaller upper level since I got sick of lugging a vacuum up and down the stairs. The upper level is around half the size, so I couldn't justify the cost of a Roomba. After a bit of research, I found the ILIFE V5s Pro. At half the price, it's great value.The Roomba isn't the best comparison, given it's in a different price range, but here's how the two stack up:1. Navigation: the Roomba has onboard navigation, so while it might seem random it's actually very methodical. The ILIFE, on the other hand, is just random. The logic seems to be that if you let it run long enough, it'll cover every inch. It seems to work for small rooms, not sure how effective this would be for a larger area.2. Brushes: the ILIFE has the same two front brushes as the Roomba, but they seem better designed to my eye. The brushes are longer, so they capture dirt from corners much better. They are also angled inward (note that the brushes are marked L & R, and are not interchangeable), so that they feed the dirt to the vacuum, and don't just spread it around. The ILIFE doesn't have roller brushes on the underside, however, just a vent for the vacuum. This works fine on bare floors, but won't be effective on carpet.3. Docking: surprisingly, given the lack of onboard navigation, the ILIFE finds the docking station with relative ease. Better than my Roomba, which only finds it around 50% of the time.4. Mopping: not available on the Roomba. I was skeptical of the effectiveness of this feature, but was pleasantly surprised! It works excellently on bare floors, much better than the Swiffer I used to use. The mechanism is very simple - you fill a separate tank with water and install it, which then drips water onto a mopping attachment. The only negatives are that the water tank doesn't have a valve, so you need to make sure you install it fairly quickly or else you'll have drips all over. Also, the ILIFE doesn't recognize carpeted areas (unlike the iRobot Braava, for example), so you will need to roll up any rugs lying around.5. Dustbin: the main shortcoming of the Roomba is the round design of the dustbin. It's an odd shape, and it's very difficult to empty out, you always get dust flying everywhere. The ILIFE dustbin is a much better design than the Roomba. You basically lift out a square box (there's a nifty handle that folds out), and empty it into the trash can. There's also a handy brush provided, to make sure you get everything.6. Cliff sensors: the Roomba has extremely sensitive cliff sensors, they avoid stairs like the plague. The ILIFE doesn't have as effective cliff sensors, however. I would keep them away from the stairs, it's not worth the risk.In short, if you have a medium-sized floor area that isn't carpeted, the ILIFE does a perfect job at half the price of a Roomba. For larger floor areas or carpets, you will need to look at alternatives.",1
"58","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","A robotic home assistant","Nicky N.","January 3, 2018","Size: V5s ProVerified Purchase",5," Cleaning is always a hassle for me especially with children in the house. I kind of hesitate to get a robot vacuum cleaner since I think it’s fragile and expensive. Anyway so I decide to give it a try. This robot vaccum cleaner doesn’t require assembling and the moment it arrived it is ready to use. I charge it up first and use auto mode to sweep my hardwood floor, surprise, it picks up a lot of dirt and even hair. However, i hate picking hair off the sweeping brush. After removing the direct, I switch the tank and add water and the mopping part to start mopping. Cleans well and no problem. This robot cleaner is actually not heavy and but very strong. My son sit on top of it and it still able to clean and move around, even tho I do not recommend have kid sitting on it. However my son think of it as toy, so can’t help it. I just love the mopping part, even tho I wish they could come with more mopping part replacement. If only have the sweeper, hepa filter replacements. I have only try on hardwood floor, so I don’t know how well it work for carpet. One thing I hate about it it’s it look so much like a big toy and my sons keep going after it. It’s a hassle to have my kids to stay away from it. So if you have kids make sure have them stay away from it, otherwise floor won’t be clean. Since this robot cleaner with its sensor will back off if it gets near anything. This is a robotic Home assistant for me, works well. I hope the parts aren’t that expensive to replace.",1
"59","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Changed my world - Dogs, Cats, Florida Pollen and sand!  LOVE IT!","LittlePinkShopper","August 29, 2017","Size: V5sVerified Purchase",5,"I have owned this thing for 6 months.  I have half terrazzo (hard) and half tight small weave carpet.  I have 2 dogs and 1 long hair cat and leave near a coast in pollen extreme Florida.  I have changed my entire house to accommodate this thing.  All furniture is 5"" off the ground.  Dog bowls are on grid stands and legs are far enough apart so it can be swept daily.  I will never have furniture that goes to the floor again and am slowly replacing (or adding little legs) to everything I do have.  Nothing in the corners of the rooms that can't be swept around.  The dogs ignore it, as does the cat.  I do have to clean it out every single day, and is it always packed every day with hair and dust.  Weekends are mop days - my own solution in the tank for the terrazzo  It will easily goes over my 1.5"" carpet to hardwood trim on sweep,but does occasionally have an issue with my mothers 3""  trim.  This model is NOT a vacuum replacement for the carpets, BUT it does it every day and that's where it shines; under the bed and the dressers to all the corners.  I have noticed a real difference in my sinus and sleep.  It's actually buffed up my floors with it's nylon brooms.  My 75 year old mother who has not allowed an electrical appliance in her house besides a 25"" TV and a can open wanted one after seeing mine.  She sits in her chair and drives it around the house to the spots she wants done.  It does bump against lighter colored items, it can't seem to see lighter colors.  It will slow and stop before touching darker objects.  I have seen it go around a shadow on a very bright day.  I've never been so neat about picking stuff up, I have also returned to barefoot 100% of the time - always 100% clean.  I have one room it can't get to... next year i'm buying the all rug model.",1
"60","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love her","Kay Deezy","April 25, 2019","Size: V5s ProVerified Purchase",5,"I've had her maybe 9 months. You have to make sure you clean her sometimes or she'll start messing up. I like her on max mode all the time. It's annoying that she wanders aimlessly but if you run her twice she gets everything. She has problems finding her home sometimes. She gets stuck under the fridge and humps the scale until she turns off. You have to be really careful that there are no strings or weird stuff on the floor. She doesn't like wires but usually escapes them with a few tries. I'd buy it again any day. Oh... The mopping feature is completely useless. If thats your selling point, take it off your list.",1
"61","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","still loving my three helpers a year after I got them.","Gorgeousdevil","August 4, 2017","Size: V5sVerified Purchase",5,"what can I say, I have three of these babies for a little over a year now and I love them, still love them. it really helped a lot with over 3000sqft area, I can't spend the rest of my day vacuuming the house, and I hate doing it. we like walking around the house barefoot and also we have a yellow lab who sheds a lot so we ran them at least twice day and the floor feels clean all the time.except for the little blunders once in a while like getting stuck on a rug or when they are so exhausted they can't find home, I have no complaints at all,  or haven't ran into any serious problem so far..these guys are really holding-up.can't say anything about the mopping though because I only use it once and thats it and just do it myself because I can see where it needed mopping more than these babies.",2
"62","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Hardwood floor/ tile/ and rug cleaning","ILove2Shop","October 20, 2018","Size: V5s ProVerified Purchase",4," Ok I just got this today, immediately plugged in and start the cleaning processes.  I have the following : hardwood floor, tile in my kitchen and 8x10 rug in my other living room. FYI My daughter name her Daisy.  I left my house as is, she did go around my daughter’s toys, she went under and inside our dinning chair and did take 20 seconds or so to get out.  We followed her and she just go wherever so I would suggest you let her be.  You can hear her if she’s cleaning the hardwood/tile floor but the mins she got into the rug she’s very quiet.  Took about 45 mins for her to clean and she went back to her charging stationPros: she adjust her self from hardwood floor, to tile and then to a medium thick heavy carpet.-quiet on rugs-alittle noisy on floor (but I prefer this bc so I know she’s working and not stuck somewhere)Cons: -she’s all over the place and cannot dected crumbs if it’s next to her.  She will come back for it if you’re luckyI will test out the mop tomorrow and post my review again.",1
"63","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I had resigned myself to either living with dirty floors or spending many hours using my Hoover Floormate ...","Shoppingmama2011","July 14, 2016","Size: V5sVerified Purchase",5,"I'm a devoted review reader and read tons of reviews on this and similar products.  I have four very hairy dogs and white ceramic tile floors, this coupled with a rainy climate equals lots of mess.  I had resigned myself to either living with dirty floors or spending many hours using my Hoover Floormate (which I love).  Not having lots of extra time, but LOVING clean floors, we decided to try this product.  First of all, she's very quiet! We've named her Rosie, after the Jetsons' robot, and we LOVE her! She's set to run once a day and then we run the mopping feature at night.  The first time we ran her, the bin filled up halfway through.  She will run for almost two hours on a full charge, slowly returning to the docking station just before the battery runs out.  The mopping feature runs on gravity, so you can't fill it with water and then run the robot later, otherwise you'll have a puddle, but other than that, we've had nothing but great results! I was even surprised that the dogs tolerate her and are now completely used to it running.  For the money, I would say you can't go wrong with this product.",4
"64","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","This little guy makes for a great vacuum, but not the smartest robot","KELLY","May 11, 2018","Size: V5sVerified Purchase",4,"This little guy makes for a great vacuum, but not the smartest robot. We have all hardwood floors which is perfect for any robotic vacuum - however - our radiators and fridge are juuuuust a hair too far off the ground for the robot to sense the obstacle and instead, it tries to force itself underneath it resulting in it getting stuck and crying out for help. This is common for all brands of robotic vacuums, not just iLife and there are a few helpful articles around the Web about how to avoid this.Additionally, the robot has a difficult time navigating the house. I haven't quite figured out its algorithm yet, but so far it seems relatively random. Thankfully, the vacuum is so powerful that its travel path doesn't really matter too much. We only have to run it once-to-three-times a week for it to have an impact.Last note:  My roommates and I have long hair. The vacuum's brushes do NOT like long hair. Prepare to cut the hairs off of the brushes between uses or else the bristles get matted with it and eventually it deforms the brushes. I was able to re-shape the brushes back to their original stiffness, but it would have been a lot easier had I noticed the build-up sooner.",1
"65","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Jack of all trades but master of none","KevT","April 14, 2018","Size: V5s ProVerified Purchase",4,"This robo-vac is very capable and has lots of bells and whistles but it's not really a heavy weight contender against the other vacs.  I put this in an empty living room and it seems to go around the house cleaning but it doesn't do a very thorough job.  The mopping is more of a gimmick and doesn't really do much work.  Because you're supposed to clean the pad often and you can't rely on 1 pad to clean a living room.  This is mostly suitable for an apt without much clutter.  I got this cheap so it does the job and has good battery life overall but don't expect it to clean every nook and cranny and pet hair is hit or miss.  Otherwise it is capable robo-vac once it learns your room and I would position it in a corner so it starts off there and goes around the room.",1
"66","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","3 dogs and 3 cats and I come home to clean (and hairless) floors every day.","Chris","April 11, 2018","Size: V5s ProVerified Purchase",5,"I watched this thing like a hawk for the first few days I owned it.  I wanted to make sure it would do what it said it would do and that I could trust it running without supervision.  It should be known that I have three cats and three medium sized dogs on hard wood floors.  This means that I have little piles of hair all over the floors and depending on weather a bit of dirt or mud too.  So my expectation of this product was this:  I want to come home to a house who's floors are clean and animal hair free.I notice a few things off the bat, that I have a couple places in my home where this little guy gets stuck.  It wedges itself under the dishwasher and under the kitchen table where it gets caught on a table leg.  The good news is when it gets stuck it just shuts itself off conserving the battery.  When I have been home I pretty much leave it alone and on the occasion I'll need to go rescue it from those few places it gets stuck.  I have however started letting it run when I'm away.  So far it seems to work with only one occasion where I've come home to it wedged under the dishwasher, but no big deal as it shuts itself off I simply un-wedged it and let it finish.  I don't think that's a big deal for me and I'm happy to let it run while I'm away as it's not an issue if it wedges itself once in a while.  It'll just finish the job when I get home.  I have spent too much time vacuuming the house every day for me to be upset that something that does it for me will finish the job late.  I'm not the one doing the work in the end and that leaves me feeling pretty good.The dust pan is a bit small in my opinion and it fills up after each run around the house (which it does go into all parts of the house which have doors open).  I empty the bin every day and it does its thing.  I'm okay with that.The mop on the other hand I'm not too happy with because it simply is a pad which soaks up water being dripped on it.  It does a fair light mopping I suppose but in a house with three medium sized dogs, its not good enough.  This is not affecting my score because I did not get this thing to mop (I thought it was a nice option though).In the end this thing frees me from 30 minutes a day of vacuuming (3.5 hours a week) and I'm really excited about that.  That's 3.5 hours I can put into cleaning more than the floors, 3.5 hours I can put toward playing with my daughter.  Hell, that's 3.5 hours of work I don't have to do.  I'm very happy and excited with his purchase.",NA
"67","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","A few quirks, but well worth it","Daniel B. Hallquist","April 13, 2017","Size: V5sVerified Purchase",4," This little guy has definitely made my life easier. I have him cleaning the downstairs of my condo, which has wood floors throughout, and tile in the bathroom and kitchen. Overall, the first floor of my condo is about 700sq ft. I do have an area rug in my living room, and there are many obstacles for him to go around, such as a piano, coffee table, aquariums, telescope, etc. I also have three dogs and two cats, so there is plenty of hair everywhere. I will go through both the pros and cons of this nifty little robot.Pros:- First off, he does a great job of vacuuming the hard floors. I work full time and go to school full time, so house cleaning doesn’t get a whole lot of attention. (My house isn’t disgusting, I swear.) I cannot tell you how great it is to come home from a very long day, and walk in to find my floors clean. - This vacuum gets into the edges and corners better than I do when I have time to vacuum myself.- This picks up pretty much all the pet hair in my house, and has help my allergies a lot. The HEPA filter is easy to clean. The compartment that holds the dust and whatnot does need to be cleaned out every day, but that is easy.- He runs for a little over 2 hours before automatically returning to the charging base. The first few times, he did get stuck elsewhere, but that was because I was new to the robot vacuum and had things out that were hard to get around, or he went in a closet and couldn’t find his way out. 2 hours is plenty of time to get the floors clean.- I do have a slight rise between the wood floors and the tile in my kitchen (don’t get me started, I hate it.) He is able to go right over that without any problems at all.- Programming is super easy from the remote. Set it and forget it.- Surprisingly quiet.Cons:- Every once in a while, he gets stuck for no reason. The floor is wide open, and he acts like there is something in his way wherever he turns. This doesn’t happen often, but I have noticed it 2 or 3 times.- Don’t bother with the mopping feature. The water tank doesn’t drop enough water to keep the pad wet, and it just streaks a little water all over the place. It looks like a kid fingerpainted all over the floor with water. This isn’t a deal breaker for me, I don’t mind mopping every so often.Overall, I definitely recommend this. It does a great job of vacuuming, is very quiet, and it makes my life easier. Definitely buy this for the vacuuming, but don’t bother with the mopping. For the price, this is a great little robot, and will definitely help you keep your house cleaner.",8
"68","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love it <3","KMRANDALL926 ","March 3, 2017","Size: V5sVerified Purchase",5,"I love it!!! <U+0001F60D><U+2764><U+FE0F> My hardwood floors stay clean now that I have this bad boy!!! So worth the money!!! Only complaint is I wish it held more dirt/dog hair/ and such, but even so still love it!! Word of advice: make sure everything is cleaned up off of the floor when letting it run. I've had clothing get caught in it but easily pulled it out, but still!! It's a good thing to look out for!! I'm already ready to buy a new one even tho it's not even needed since my floors now actually stay clean for once haha. I wish they made these for carpet floors too!! I've used mine on the carpet floors and they do pick up stuff but I haven't really tested it completely, I rather just vacuum myself since my only carpeted areas are our bedrooms. Also don't let your kids touch it, that is my biggest pet peeve lol my son kept following it and opening it as it's running. But I got him to stop. My pets aren't bothered by it tho so that's good. It makes noise, but nothing to be extremely bothered about. I'm usually cleaning while I have it running anyways so it doesn't bother me. And if my son is watching tv, I just turn it up a bit. Not bothersome at all tho.. But yes I love it and would totally buy another one. Great product!!",1
"69","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Good-ish","Kyle from Ohio","December 17, 2017","Size: V5s ProVerified Purchase",4,"It’s very nice to set and walk away. It sucks up a lot of dirt, even after using an upright vacuum in the kitchen. BUT the navigation is terrible. It constantly just goes around the perimeter of the room, over and over and over. Only way to make it go somewhere else is to steer it with remote. But sometimes it doesn’t even listen to that. It completely avoids a 5ft radius around the home base. It spends 80% of the time cleaning 20% of the floor and 20% of the time cleaning 80% of the floor. The mop function works good too.",2
"70","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Love it!","CB","December 3, 2017","Size: V5s ProVerified Purchase",5,"Love it!  I have a very busy life, 3 dogs and like clean floors.  I did a huge amount of research and finally decided on the ILIFE V5S.  I couldn’t be happier!  This is going to save me so much time and let me enjoy clean floors everyday.It runs very quiet, a very pleasant surprise.  The dogs are not bothered by it at all.  Everything is nicely packaged with easy instructions.  I had one brief concern over its very random cleaning pattern but I watched for a bit and it gets to everything even though the pattern seems random.  No longer a concern, I just leave it up to the expert.  The mopping function works as advertised as well, actually a little better than I expected.Overall I am extremely happy with my purchase and I am going to order a second one for my parents.",1
"71","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Round, with spinning whizzy bits","Herman Minister","August 2, 2018","Size: V5s ProVerified Purchase",5,"Just for fun, try placing it on your piano keyboard - it sounds exactly like Schoenberg!Seriously though, this is rather a good little device. After many months, Gort (for 'tis his name) still does what he's designed to do. I have him wander around the ground floor of the house every night, starting at 4.30am. He's quiet enough that he can sneak up on the cockroaches, and he does a terrific job of picking up all sorts of detritus; honestly, you'll get up each morning, check his dust-bucket and be amazed at how much stuff there is in there. It's like christmas every day, only with fewer presents and more dog hair. (Actually, that sounds exactly like my average christmas.)My only reservation is about the mopping feature: it's really not that good. All it does is drag a damp cloth around the floor. My advice would be to get yourself a Gort that doesn't have the mopping feature - i.e., a slightly better vacuum-only model.",NA
"72","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great product great price","Malik","January 31, 2019","Size: V5s ProVerified Purchase",4,"I bought this for my mother for Christmas. It does a very good job cleaning the hard floors and a decent job with the carpets. There are no brushes that work things out of the carpet so it only picks up if the object is loose. The suction is great and the debris bin is adequately size for our 1400 square foot home. It runs for about 2 hours and has a high and low suction setting. I watched a lot of videos on it prior to buying it and they made it sound louder than it is. we have a mixture of carpeting and hardwood floors room to room and a few rugs throughout the hardwood. That creates a problem when I add the mop attachment because it will mop the carpets and the rugs the carpets is an easy solution would just close the doors but the rugs you can't do much about. I can't think of any real solution for that other than mapping so not a huge issue we use the remote control that it comes with to steer it off the rugs it just involves a little more attention. Overall I would definitely buy this item again I've had no problems with it other than sometimes it will get lost when it is trying to return to base to charge.",NA
"73","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","... this vacuum for several months now and couldn't be happier. I had two different Roomba models in the ...","Kindle Customer","April 29, 2017","Size: V5sVerified Purchase",5,"I've had this vacuum for several months now and couldn't be happier. I had two different Roomba models in the past and although they were nice, the brush maintenance due to all the cat hair in my house and the relatively short lifespan vs. the cost had caused me not to get another one for several years. I decided I really missed having a robot vac though especially now that we got rid of all the carpet for wood, and am very glad I came across this one from iLife. It runs every single day on schedule, and I've had no issues at all. It gets stuck every once in a while, but not excessively and it does a great job cleaning up all the cat hair and kitty litter. I've also been impressed at how well it manages to get back to it's charging dock even after wandering around my entire house! I've only had to manually return it a couple of times.I will say I didn't have much luck with the mopping feature the couple of times that I tried it...the water didn't seem to drip out at all and the cloth dried out, but I didn't buy it for that so I don't really mind much. It's an excellent and effective hard floor vacuum!",1
"74","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Great robot vacuum - especially for the price!","kl","October 3, 2016","Size: V5sVerified Purchase",5,"I have to say...I actually have a much more expensive robot that works on vacuuming my house which is all hard flooring with a couple of low pile area rugs and I love that vacuum.  I actually bought this one for the mopping feature to keep in my kitchen as I have two large dogs and that is where the dog door lets them in with their dirty feet.  I read the reviews and description and found that this was honestly described.  I do have to vacuum first (robot one or dyson stick...do your job!) and this doesn't really 'scrub' but prewetting the floor and letting it do its thing, it keeps running for a long time and gets the floor pretty clean.  Not as good as a full mopping job with some elbow grease but definitely does the trick for daily maintenance!  Now, I just need to try the vacuum to see if it works as good as the pricier model that I also love.UPDATE:  Ok, I have now used this to vacuum, in addition to mopping and it does just as well as my much more expensive robot.  I really only use it in an oversized kitchen but, instead of manually vacuuming, before I mop, I just run the vacuum feature first and then I run the mopping feature with about 30 seconds worth of manual set up changes - so simple.  This is really a great buy, especially for the price, and does 2 things in one - even better!",1
"75","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Works ok but not great. Requires babysitting.","Lisa","October 29, 2018","Size: V5s ProVerified Purchase",2,"Picks up dirt and hair pretty well, you definitely have to have the floor cleared of cords and anything extra. My kids named it Beetle and get a kick out of watching it. I love the idea of a robot vacuum that can mop too but it doesn't do either very well. I have a 900sq ft house without a ton of open areas and it just goes all over but never back to its base. I've been using it a couple times a week for a couple months now and it has NEVER returned to its charging base. It has a pretty good amount of push to it, itll knock over a fire screen if it bumps into it. Dark objects it doesn't see well and bumos hard but it does see light objects. Does a decent job trying to get itself unstuck and then beeps at you when it can't get free. I just have to babysit it too much and for as much time I spend helping this thing I may as well have just used my regular vacuum. I can't just start it and have the floor vacuumed when I get home.",NA
"76","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Battery Wont Hold A Charge, Cust Service Terrible","A Osborn","September 18, 2018","Size: V5s ProVerified Purchase",1,"We loved this vacuum - while it worked. All too quickly the battery quit holding a charge (even though we were meticulous about following the instructions/directions). We have been trying to get in contact with the company to send it back and have had terrible customer service which had resulted in the vacuum being a very expensive paperweight since about 8 weeks after we purchased it. Has customer service been better and had the battery not died, the rating would be a 5 but I can't justify a rating that high at all with it not working. It's a shame.",3
"77","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","I love this robot!  Mine are named Zeus and Neptune.","Stephanie Leigh","July 6, 2018","Size: V5s ProVerified Purchase",5,"I have gone through multiple roombas and will not buy another one. ever.  This isn't really a vacuum.... it sweeps into the dust bin, not vacuums.... I didn't think it would do a good job, but it does!  I do pet rescue as well as have too many of my own pets :)  currently three dogs and six cats share the house.  It has been a godsend for the cat room.  I run it once a day and it cleans up all the scattered litter which used to make me crazy.  I use it in the rest of the house too, and I cannot believe how much it picks up!  Dog hair (one of whom is a St. Bernard) cat hair, leaves, dust.  If I skip a day I have to stop it during the cycle and empty the dust bin at least once.  LOLI love it so much that when my first one died (through no fault of it's own - it was murdered by one of the pets), I immediately bought two more.  Zeus (for sweeping) and Neptune (for mopping).  I never named my roomba. LOLAlso , the mopping, it doesn't suck water back into anything,  It just wets the micro fiber pad and wipes the floor with it.  But again, it does a great job.I do have the same issues with it getting stuck in weird places, But not really a big deal.It's also really easy to clean.  When pet hair gets stuck around the wheels, you can just pop them out, clean off the hair and pop them back in.  Everything is easily removable and cleanable.I have been using mine every day now for months and they are still going strong.  This is only my second review, but I had to.  Great product.",1
"78","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Rating is based on product life","Courtney Hill","July 29, 2017","Size: V5sVerified Purchase",1,"Great product for the price, but the ummf doesn't last long.We loved our ""Cinderella"" for the everyday pick up of dust and debris on our dark laminate flooring. Our frustration is based on the product life.When we activate Cinderella to clean she only lasts about 30 seconds before searching for the docking station to recharge.When we first ordered this product, it lasted up to two hours before returning to the docking station to recharge. I'm not the sure the price is worth 7 months of use.",5
"79","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Works great, gets stuck a lot.","Ruby Lue","May 23, 2017","Size: V5sVerified Purchase",3,"Does it vacuum a lot of pet hair, dust and other stuff, YES absolutely!! .... does it get stuck on the most mundane things... Yes!! I honestly like the little bugger, it works great.....when its not stuck on something.  So I don't use the ""timing"" function on it ever. I just let it run while I'm home and can listen for the ""beeps"" (that means it is stuck on something), go pick it up and let it continue to do its job.  I have watched it go over the same rug 5 times, then get stuck on it, on the 6th pass... Its all in how it decides to go across it that 6th time. I have also watched the thing try to vacuum up my foot and get stuck there until I kicked it off.  I haven't figured out its rhyme or reason to the way it decides where to go, but it does a fantastic job of getting the ""everyday"" dust and pet hair off my floors. I just have to keep an eye on it, and remove any cords or small objects off the floor before running it.  So if you don't mind keeping an eye on it, and letting it roam around the house and vacuum while you cook, its worth every penny! If you want something that you can set a timer on it and let it go while you are away, maybe spend the extra money and try something more expensive.",2
"80","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","Subpar vacuum and mop: I would rather buy two separate machines.","Amazon Customer","July 29, 2018","Size: V5s ProVerified Purchase",1,"This machine DOES NOT HAVE MAPPING. It doesn't know where it has already been and where it has to go. It is always performing guesswork. Machines like Roomba learn the layout of your house so it knows where to go and where it's been. iLife goes over the same spot 10 times and goes over another spot 0 times. Directional controls are useless. Spot clean function does not work well, either. Scheduling is not that great to use. Don't even get me started on the mopping function! Does not release any water! Braava does a much better job! It sucks at vacuuming because it doesn't have a brush roll. Or a wide opening. The opening for vacuuming is no bigger than 4""x2"" so it doesn't suck anything up, and the lack of a brush makes it terrible when vacuuming carpets. Really not satisfied with this purchase. Will be returning.",2
"81","ILIFE V5s Pro Robot Vacuum Mop Cleaner with Water Tank, Automatically Sweeping Scrubbing Mopping Floor Cleaning Robot","like it a lot and highly recommend","Curtis Lyon","May 25, 2018","Size: V5s ProVerified Purchase",4,"had it a few weeks now, it works great!it covers the house randomly and haphazaredly.  seems like it gets fixated on a room or area but after a 2 hour run it gets the whole househard floors are best so if I want the carpeted bedrooms done quickly,I have to shut the door and vacuum them myself laterproblems?  you do have to pick everything up first, cords (beware if you have an area rug with fringe, it will get caught and shut down) bathroom rugs, socks,,,, it will push things out of its way that I didnt think it could.it does get itself trapped so if you cant pick up cords etc, put something it cant get past and block that area off.It knocked over a baby gate and got stuck in a tiny area where it just kept running and runningit can seem like a toddler learning to walk at times but I have had to sweep or swiffer the hardwood floors since we got it",NA
